bucket_id,u_min,u_max,u_mean,n_samples,alpha_star,f1_at_alpha_star,nll_at_alpha_star,alpha_0_f1,alpha_0_nll,alpha_0_25_f1,alpha_0_25_nll,alpha_0_5_f1,alpha_0_5_nll,alpha_0_75_f1,alpha_0_75_nll,alpha_1_0_f1,alpha_1_0_nll
0,0.0,0.1,0.015791130455968815,3912,0.5,0.9319253252875731,0.42221311689428676,0.5672651574290919,0.8804738704134561,0.5667189952904239,0.5818628464704537,0.9319253252875731,0.42221311689428676,0.9319253252875731,0.3306109592117442,0.9319253252875731,0.37198991042590535
1,0.1,0.2,0.14421015200407608,368,0.75,0.7044334975369458,0.7003954327040348,0.3250883392226148,0.993772249687649,0.3262411347517731,0.8098042868158261,0.6613333333333333,0.7269780590200092,0.7044334975369458,0.7003954327040348,0.7044334975369458,0.7416684197670704
2,0.2,0.30000000000000004,0.24992607009242956,284,0.75,0.6710963455149501,0.6690152330596114,0.35944700460829493,0.9483967931980326,0.35514018691588783,0.7914981834731315,0.3300970873786408,0.709185584527951,0.6710963455149501,0.6690152330596114,0.6710963455149501,0.6687158595460473
3,0.30000000000000004,0.4,0.3474463126509662,207,1.0,0.6146788990825688,0.6856185870044613,0.3404255319148936,0.8893386677174111,0.34285714285714286,0.7632553334258179,0.30656934306569344,0.7005000838195566,0.6074766355140186,0.6763290867535242,0.6146788990825688,0.6856185870044613
4,0.4,0.5,0.4518698137358757,177,1.0,0.56,0.6858405501287843,0.26666666666666666,1.0349685650602363,0.26666666666666666,0.8785840074712208,0.26666666666666666,0.7811013716054601,0.2706766917293233,0.7198564752505541,0.56,0.6858405501287843
